file,unix_ts,local_dt,local_tm,column,original_value,recovered_value,method,source_hour_unix_ts,source_samples,confidence,notes
energy_hourly.csv,1514520000,2017-12-28,20:00:00,utility,,380,ihd_hourly_mean_round10,1514516400,450,high,Main-model cross-check=370 Wh; delta=10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514523600,2017-12-28,21:00:00,utility,,400,ihd_hourly_mean_round10,1514520000,450,high,Main-model cross-check=400 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514527200,2017-12-28,22:00:00,utility,,650,ihd_hourly_mean_round10,1514523600,450,high,Main-model cross-check=650 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514530800,2017-12-28,23:00:00,utility,,480,ihd_hourly_mean_round10,1514527200,450,high,Main-model cross-check=480 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514534400,2017-12-29,00:00:00,utility,,150,ihd_hourly_mean_round10,1514530800,450,high,Main-model cross-check=150 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514538000,2017-12-29,01:00:00,utility,,160,ihd_hourly_mean_round10,1514534400,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514541600,2017-12-29,02:00:00,utility,,160,ihd_hourly_mean_round10,1514538000,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514545200,2017-12-29,03:00:00,utility,,160,ihd_hourly_mean_round10,1514541600,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514548800,2017-12-29,04:00:00,utility,,160,ihd_hourly_mean_round10,1514545200,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514552400,2017-12-29,05:00:00,utility,,160,ihd_hourly_mean_round10,1514548800,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514556000,2017-12-29,06:00:00,utility,,180,ihd_hourly_mean_round10,1514552400,450,high,Main-model cross-check=180 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514559600,2017-12-29,07:00:00,utility,,320,ihd_hourly_mean_round10,1514556000,450,high,Main-model cross-check=320 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514563200,2017-12-29,08:00:00,utility,,310,ihd_hourly_mean_round10,1514559600,450,high,Main-model cross-check=320 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514566800,2017-12-29,09:00:00,utility,,570,ihd_hourly_mean_round10,1514563200,450,high,Main-model cross-check=570 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514570400,2017-12-29,10:00:00,utility,,420,ihd_hourly_mean_round10,1514566800,450,high,Main-model cross-check=420 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514574000,2017-12-29,11:00:00,utility,,620,ihd_hourly_mean_round10,1514570400,450,high,Main-model cross-check=620 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514577600,2017-12-29,12:00:00,utility,,500,ihd_hourly_mean_round10,1514574000,450,high,Main-model cross-check=500 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514581200,2017-12-29,13:00:00,utility,,1150,ihd_hourly_mean_round10,1514577600,449,high,Main-model cross-check=1140 Wh; delta=10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514584800,2017-12-29,14:00:00,utility,,330,ihd_hourly_mean_round10,1514581200,450,high,Main-model cross-check=330 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514588400,2017-12-29,15:00:00,utility,,270,ihd_hourly_mean_round10,1514584800,450,high,Main-model cross-check=270 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514592000,2017-12-29,16:00:00,utility,,340,ihd_hourly_mean_round10,1514588400,450,high,Main-model cross-check=340 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514718000,2017-12-31,03:00:00,utility,,160,ihd_hourly_mean_round10,1514714400,451,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1518127200,2018-02-08,14:00:00,utility,,180,ihd_hourly_mean_round10,1518123600,450,high,Main-model cross-check=180 Wh; delta=0 Wh. Model trained on 669 observed rows in 2018-02.
energy_hourly.csv,1519099200,2018-02-19,20:00:00,utility,,910,utility_main_model,1519095600,0,medium-high,No usable IHD samples; month-local utility~main calibration used. Model trained on 669 observed rows in 2018-02.
energy_hourly.csv,1519812000,2018-02-28,02:00:00,utility,,160,utility_main_model,1519808400,0,medium-high,No usable IHD samples; month-local utility~main calibration used. Model trained on 669 observed rows in 2018-02.
energy_hourly.csv,1520539200,2018-03-08,12:00:00,utility,,200,utility_main_model,1520535600,0,medium-high,No usable IHD samples; month-local utility~main calibration used. Model trained on 742 observed rows in 2018-03.
energy_hourly.csv,1523599200,2018-04-12,23:00:00,utility,,170,utility_main_model,1523595600,0,medium-high,No usable IHD samples; month-local utility~main calibration used. Model trained on 718 observed rows in 2018-04.
energy_hourly.csv,1525006800,2018-04-29,06:00:00,utility,,150,utility_main_model,1525003200,0,medium-high,No usable IHD samples; month-local utility~main calibration used. Model trained on 718 observed rows in 2018-04.
energy_hourly.csv,1526994000,2018-05-22,06:00:00,utility,,200,utility_main_model,1526990400,0,medium-high,No usable IHD samples; month-local utility~main calibration used. Model trained on 743 observed rows in 2018-05.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,beda,,4,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,bedp,,182,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,boil,,113,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,chrg,,0,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,cwsh,,3,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,dryr,,1,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,dwsh,,0,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
